,tick,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,mr18.m0,mr18.m1,mr18.m2,mr18.m3,mr18.m4,mr18.m5,mr18.m6,mr18.m7,mr18.m8,mr18.m9,mr18.m10,mr18.m11,mr18.m12,mr18.m13,mr18.m14,mr18.m15
73,980.0,-0.178063,0.165896,-0.6535443090159735,870.0,943.0,5001.0,2147.0,5002.0,1549.0,794.0,551.0,5002.0,5002.0,1210.0,1212.0,1164.0,1207.0,1309.0,974.0
74,992.0,-0.178396,0.16643,-0.6561799148735753,870.0,943.0,5001.0,2147.0,5002.0,1549.0,794.0,551.0,5002.0,5002.0,1210.0,1212.0,1164.0,1207.0,1309.0,974.0
75,1000.0,-0.179159,0.166209,-0.6476084662584182,856.0,910.0,5002.0,2034.0,5001.0,5002.0,794.0,553.0,5001.0,5002.0,1129.0,1203.0,1171.0,1219.0,1314.0,960.0
76,1020.0,-0.180128,0.164915,-0.6575034473803275,856.0,910.0,5002.0,2034.0,5001.0,5002.0,794.0,553.0,5001.0,5002.0,1129.0,1203.0,1171.0,1219.0,1314.0,960.0
77,1030.0,-0.178323,0.164475,-0.6558418697744481,856.0,910.0,5002.0,2034.0,5001.0,5002.0,794.0,553.0,5001.0,5002.0,1129.0,1203.0,1171.0,1219.0,1314.0,960.0
78,1040.0,-0.179025,0.163879,-0.6556012275004932,863.0,908.0,5002.0,2007.0,5001.0,1654.0,798.0,561.0,5002.0,2053.0,1100.0,1207.0,1179.0,1216.0,1316.0,982.0
79,1060.0,-0.179055,0.161718,-0.6441879082214872,863.0,908.0,5002.0,2007.0,5001.0,1654.0,798.0,561.0,5002.0,2053.0,1100.0,1207.0,1179.0,1216.0,1316.0,982.0
80,1071.0,-0.17924,0.161505,-0.6395469500809275,863.0,908.0,5002.0,2007.0,5001.0,1654.0,798.0,561.0,5002.0,2053.0,1100.0,1207.0,1179.0,1216.0,1316.0,982.0
81,1080.0,-0.179425,0.161547,-0.6377364034483141,870.0,942.0,5001.0,2017.0,5002.0,5002.0,814.0,559.0,5002.0,5002.0,1113.0,1195.0,1174.0,1209.0,1296.0,985.0
82,1090.0,-0.179485,0.16118,-0.624352109354058,870.0,942.0,5001.0,2017.0,5002.0,5002.0,814.0,559.0,5002.0,5002.0,1113.0,1195.0,1174.0,1209.0,1296.0,985.0
83,1110.0,-0.179703,0.160102,-0.6040865921402808,870.0,942.0,5001.0,2017.0,5002.0,5002.0,814.0,559.0,5002.0,5002.0,1113.0,1195.0,1174.0,1209.0,1296.0,985.0
84,1120.0,-0.180385,0.160511,-0.6099708686962744,858.0,938.0,1460.0,1998.0,5001.0,1582.0,805.0,562.0,5002.0,5002.0,1118.0,1202.0,1173.0,1187.0,1310.0,956.0
85,1130.0,-0.180705,0.160528,-0.602694304698113,858.0,938.0,1460.0,1998.0,5001.0,1582.0,805.0,562.0,5002.0,5002.0,1118.0,1202.0,1173.0,1187.0,1310.0,956.0
86,1150.0,-0.181499,0.160002,-0.5908398079168562,855.0,914.0,5002.0,2067.0,5002.0,1567.0,804.0,566.0,5002.0,5002.0,1029.0,1209.0,1164.0,1203.0,1307.0,982.0
87,1163.0,-0.180551,0.158659,-0.5788306125309142,855.0,914.0,5002.0,2067.0,5002.0,1567.0,804.0,566.0,5002.0,5002.0,1029.0,1209.0,1164.0,1203.0,1307.0,982.0
88,1170.0,-0.180632,0.158313,-0.5886568387174078,855.0,914.0,5002.0,2067.0,5002.0,1567.0,804.0,566.0,5002.0,5002.0,1029.0,1209.0,1164.0,1203.0,1307.0,982.0
89,1200.0,-0.179109,0.159025,-0.6118329815304496,855.0,933.0,5002.0,5002.0,5002.0,5002.0,807.0,581.0,5002.0,2050.0,1106.0,1190.0,1155.0,1194.0,1314.0,963.0
90,1210.0,-0.181264,0.160626,-0.6315656479947551,855.0,933.0,5002.0,5002.0,5002.0,5002.0,807.0,581.0,5002.0,2050.0,1106.0,1190.0,1155.0,1194.0,1314.0,963.0
91,1220.0,-0.181612,0.15959,-0.6316286733522196,855.0,933.0,5002.0,5002.0,5002.0,5002.0,807.0,581.0,5002.0,2050.0,1106.0,1190.0,1155.0,1194.0,1314.0,963.0
92,1240.0,-0.181017,0.158194,-0.6055075274722053,860.0,936.0,5002.0,5002.0,5002.0,1543.0,812.0,570.0,5002.0,2094.0,1087.0,1179.0,1162.0,1200.0,1305.0,951.0
93,1253.0,-0.181091,0.156836,-0.5829387199220022,860.0,936.0,5002.0,5002.0,5002.0,1543.0,812.0,570.0,5002.0,2094.0,1087.0,1179.0,1162.0,1200.0,1305.0,951.0
94,1261.0,-0.181151,0.156531,-0.5631017751389829,854.0,916.0,5001.0,1991.0,5001.0,5007.0,816.0,575.0,5001.0,2029.0,1074.0,1201.0,1177.0,1194.0,1312.0,957.0
95,1280.0,-0.180839,0.159658,-0.5128888998893077,854.0,916.0,5001.0,1991.0,5001.0,5007.0,816.0,575.0,5001.0,2029.0,1074.0,1201.0,1177.0,1194.0,1312.0,957.0
96,1290.0,-0.182215,0.159393,-0.4878134019854072,854.0,916.0,5001.0,1991.0,5001.0,5007.0,816.0,575.0,5001.0,2029.0,1074.0,1201.0,1177.0,1194.0,1312.0,957.0
97,1300.0,-0.18246,0.15959,-0.4668437196414142,864.0,925.0,5007.0,2001.0,5002.0,1606.0,791.0,583.0,5002.0,2019.0,1092.0,1207.0,1159.0,1207.0,1291.0,967.0
98,1310.0,-0.182547,0.157549,-0.4347798555103031,864.0,925.0,5007.0,2001.0,5002.0,1606.0,791.0,583.0,5002.0,2019.0,1092.0,1207.0,1159.0,1207.0,1291.0,967.0
